iter	RMSE
0	14.80116394
1	14.41780687
2	14.03980985
3	13.6708375
4	13.33608638
5	13.02009911
6	12.71737687
7	12.40749244
8	12.11854708
9	11.82929837
10	11.55308069
11	11.29431345
12	11.07678589
13	10.84362014
14	10.60903448
15	10.37275392
16	10.15192467
17	9.963062528
18	9.753230192
19	9.567644015
20	9.394944914
21	9.225261519
22	9.066246835
23	8.901351821
24	8.745715445
25	8.60129429
26	8.463328551
27	8.342519038
28	8.214311488
29	8.09507559
30	7.995638055
31	7.892699485
32	7.793599869
33	7.692510725
34	7.586918166
35	7.491781137
36	7.388769052
37	7.314135502
38	7.228943778
39	7.159220618
40	7.074537996
41	7.001041483
42	6.933509394
43	6.865756164
44	6.802443142
45	6.743493066
46	6.688977222
47	6.630224568
48	6.572139298
49	6.519264594
50	6.472331965
51	6.41690946
52	6.376619654
53	6.332663898
54	6.293659836
55	6.24857068
56	6.209257385
57	6.174088332
58	6.134357464
59	6.09772097
60	6.062096253
61	6.027452804
62	5.995895091
63	5.965183753
64	5.936478498
65	5.907665963
66	5.885819218
67	5.857477704
68	5.833804587
69	5.808319697
70	5.782227041
71	5.759945693
72	5.740638022
73	5.717573867
74	5.69912766
75	5.677531398
76	5.660305986
77	5.643140096
78	5.624218641
79	5.600766701
80	5.585556723
81	5.570868092
82	5.552605147
83	5.539812366
84	5.523158955
85	5.508397123
86	5.495735271
87	5.485360458
88	5.472722473
89	5.456126292
90	5.443823616
91	5.433773726
92	5.420174543
93	5.413482226
94	5.402902757
95	5.392668966
96	5.380207456
97	5.370178338
98	5.361141008
99	5.353067411
100	5.34294622
101	5.333713839
102	5.320559129
103	5.314209912
104	5.305585882
105	5.299723288
106	5.291444806
107	5.285288872
108	5.27976698
109	5.272173225
110	5.264398947
111	5.256627558
112	5.247590367
113	5.24054206
114	5.236157396
115	5.226257397
116	5.220284737
117	5.21640383
118	5.209505761
119	5.203963841
120	5.198276239
121	5.192705287
122	5.187570724
123	5.178590498
124	5.177553341
125	5.170442646
126	5.166366088
127	5.159734483
128	5.156064108
129	5.151375448
130	5.146292004
131	5.140782256
132	5.135306266
133	5.133013597
134	5.125763635
135	5.120698339
136	5.116592009
137	5.108464374
138	5.104513372
139	5.099470799
140	5.095239522
141	5.090517507
142	5.083569638
143	5.077149185
144	5.069941691
145	5.065032973
146	5.06020061
147	5.0572649
148	5.050651396
149	5.046722356
150	5.043794931
151	5.040119157
152	5.035105653
153	5.03177714
154	5.026289248
155	5.021614028
156	5.017682186
157	5.013340081
158	5.008935471
159	5.003180425
160	5.000627787
161	4.997753994
162	4.992980941
163	4.990437951
164	4.987032095
165	4.984031834
166	4.982337825
167	4.977793494
168	4.972456558
169	4.9701616
170	4.966151293
171	4.963355159
172	4.958020979
173	4.954510339
174	4.951012121
175	4.948895446
176	4.943184558
177	4.938198941
178	4.932446245
179	4.927221686
180	4.923095958
181	4.920271508
182	4.912533835
183	4.9069147
184	4.90092245
185	4.896344009
186	4.89316045
187	4.887358317
188	4.883606778
189	4.879728068
190	4.877715807
191	4.875766616
192	4.87271506
193	4.871915323
194	4.865123067
195	4.863764677
196	4.861304747
197	4.856142055
198	4.851110057
199	4.846319074
200	4.842058555
201	4.839080542
202	4.833859447
203	4.831052534
204	4.829265217
205	4.822913927
206	4.820433697
207	4.815799727
208	4.811524718
209	4.80843507
210	4.805380679
211	4.802381453
212	4.798621529
213	4.795936083
214	4.793294388
215	4.790732843
216	4.787248178
217	4.782040149
218	4.780098217
219	4.779016236
220	4.774604863
221	4.767567065
222	4.764799048
223	4.760381666
224	4.755074012
225	4.750824769
226	4.746139398
227	4.745700811
228	4.741229668
229	4.737858324
230	4.735597288
231	4.731040178
232	4.726288684
233	4.725548279
234	4.721872093
235	4.716829168
236	4.714929123
237	4.712124983
238	4.708038994
239	4.705961289
240	4.704697797
241	4.702105398
242	4.699551274
243	4.694023936
244	4.689704219
245	4.685464197
246	4.68329307
247	4.682838306
248	4.680919581
249	4.67733244
250	4.674837318
251	4.671378989
252	4.67016056
253	4.668049844
254	4.664771462
255	4.663161289
256	4.656207457
257	4.649515934
258	4.646241007
259	4.641850673
260	4.636402891
261	4.631106682
262	4.625952142
263	4.621192056
264	4.617140202
265	4.612288858
266	4.608092084
267	4.602347052
268	4.600671828
269	4.599188234
270	4.596443731
271	4.592616827
272	4.589089839
273	4.586289768
274	4.585130203
275	4.580980981
276	4.574527134
277	4.573051046
278	4.570936301
279	4.566880075
280	4.564354441
281	4.558122578
282	4.555373941
283	4.549860533
284	4.546509832
285	4.542258791
286	4.538396336
287	4.538001563
288	4.53650749
289	4.532504592
290	4.525799559
291	4.523784536
292	4.518266171
293	4.514078532
294	4.510573306
295	4.505599521
296	4.503042059
297	4.496512089
298	4.494681508
299	4.488894128
300	4.485970283
301	4.483380827
302	4.483058204
303	4.481906647
304	4.481601078
305	4.475438842
306	4.46959427
307	4.466129452
308	4.46353191
309	4.460916163
310	4.456360037
311	4.455204806
312	4.450589657
313	4.448493693
314	4.4438188
315	4.440915028
316	4.438472738
317	4.434162581
318	4.429067968
319	4.422867392
320	4.418194353
321	4.416659745
322	4.413304201
323	4.410580729
324	4.406952666
325	4.404809841
326	4.402295241
327	4.396904903
328	4.391261664
329	4.387311297
330	4.385701908
331	4.382481774
332	4.377039013
333	4.372035522
334	4.36998671
335	4.367580576
336	4.366695197
337	4.361643846
338	4.358373346
339	4.357846293
340	4.352989927
341	4.34797797
342	4.345128594
343	4.344621317
344	4.341105312
345	4.335662187
346	4.330590959
347	4.327367042
348	4.326499139
349	4.324764958
350	4.323883711
351	4.320173314
352	4.31719531
353	4.313805882
354	4.311764784
355	4.307096497
356	4.303471505
357	4.300611157
358	4.297479668
359	4.295952371
360	4.291731131
361	4.288040364
362	4.287583677
363	4.283982056
364	4.283368251
365	4.282639506
366	4.281227581
367	4.276142843
368	4.273214878
369	4.270396385
370	4.269649821
371	4.268770168
372	4.265960749
373	4.265039554
374	4.261224381
375	4.257784857
376	4.257529328
377	4.255309121
378	4.254880933
379	4.252473608
380	4.24811824
381	4.242873557
382	4.241121867
383	4.239071833
384	4.238818304
385	4.235039364
386	4.23116846
387	4.226344617
388	4.22260111
389	4.21898965
390	4.218651955
391	4.216187428
392	4.21350108
393	4.208951091
394	4.206761318
395	4.204025672
396	4.199438697
