iter	Passed	Remaining
0	0	345
1	0	287
2	0	263
3	1	250
4	1	242
5	1	237
6	1	233
7	1	229
8	2	227
9	2	225
10	2	224
11	2	222
12	2	221
13	3	220
14	3	220
15	3	220
16	3	219
17	4	218
18	4	218
19	4	217
20	4	216
21	4	216
22	5	215
23	5	215
24	5	214
25	5	214
26	5	214
27	6	213
28	6	213
29	6	213
30	6	213
31	7	212
32	7	212
33	7	211
34	7	211
35	7	211
36	8	211
37	8	210
38	8	210
39	8	210
40	8	210
41	9	210
42	9	210
43	9	210
44	9	210
45	10	208
46	10	208
47	10	208
48	10	208
49	10	208
50	11	208
51	11	208
52	11	208
53	11	208
54	12	208
55	12	207
56	12	207
57	12	207
58	13	207
59	13	207
60	13	207
61	13	207
62	13	207
63	14	207
64	14	207
65	14	207
66	14	207
67	15	207
68	15	206
69	15	206
70	15	206
71	16	206
72	16	206
73	16	206
74	16	206
75	16	206
76	17	206
77	17	206
78	17	205
79	17	205
80	18	205
81	18	205
82	18	205
83	18	205
84	19	205
85	19	205
86	19	205
87	19	205
88	20	204
89	20	204
90	20	204
91	20	204
92	20	204
93	21	203
94	21	203
95	21	203
96	21	203
97	22	203
98	22	203
99	22	202
100	22	202
101	23	202
102	23	202
103	23	202
104	23	202
105	23	202
106	24	202
107	24	201
108	24	201
109	24	201
110	25	201
111	25	201
112	25	201
113	25	200
114	26	200
115	26	200
116	26	200
117	26	200
118	27	200
119	27	199
120	27	199
121	27	199
122	28	199
123	28	199
124	28	198
125	28	198
126	28	198
127	29	198
128	29	197
129	29	197
130	29	197
131	30	197
132	30	197
133	30	197
134	30	196
135	30	196
136	31	196
137	31	196
138	31	196
139	31	196
140	32	195
141	32	195
142	32	195
143	32	195
144	33	195
145	33	194
146	33	194
147	33	194
148	34	194
149	34	194
150	34	193
151	34	193
152	34	193
153	35	193
154	35	193
155	35	193
156	35	192
157	36	192
158	36	192
159	36	192
160	36	192
161	37	192
162	37	191
163	37	191
164	37	191
165	38	191
166	38	191
167	38	190
168	38	190
169	39	190
170	39	190
171	39	190
172	39	189
173	39	189
174	40	189
175	40	189
176	40	189
177	40	188
178	41	188
179	41	188
180	41	188
181	41	188
182	42	187
183	42	187
184	42	187
185	42	187
186	43	187
187	43	186
188	43	186
189	43	186
190	43	186
191	44	185
192	44	185
193	44	185
194	44	184
195	45	184
196	45	184
197	45	184
198	45	184
199	45	183
200	46	183
201	46	183
202	46	183
203	46	182
204	47	182
205	47	182
206	47	182
207	47	182
208	48	181
209	48	181
210	48	181
211	48	181
212	48	180
213	49	180
214	49	180
215	49	180
216	49	179
217	50	179
218	50	179
219	50	179
220	50	179
221	51	178
222	51	178
223	51	178
224	51	178
225	52	178
226	52	177
227	52	177
228	52	177
229	52	177
230	53	177
231	53	176
232	53	176
233	53	176
234	54	176
235	54	176
236	54	175
237	54	175
238	55	175
239	55	175
240	55	176
241	56	175
242	56	175
243	56	175
244	56	175
245	57	174
246	57	174
247	57	174
248	57	174
249	58	174
250	58	173
251	58	173
252	58	173
253	58	173
254	59	172
255	59	172
256	59	172
257	59	172
258	60	172
259	60	172
260	60	171
261	60	171
262	61	171
263	61	171
264	61	171
265	61	170
266	62	170
267	62	170
268	62	170
269	62	170
270	63	169
271	63	169
272	63	169
273	63	169
274	64	168
275	64	168
276	64	168
277	64	168
278	65	168
279	65	167
280	65	167
281	65	167
282	65	167
283	66	167
284	66	166
285	66	166
286	66	166
287	67	166
288	67	165
289	67	165
290	67	165
291	68	165
292	68	165
293	68	164
294	68	164
295	69	164
296	69	164
297	69	163
298	69	163
299	70	163
300	70	163
301	70	163
302	70	162
303	71	162
304	71	162
305	71	162
306	71	162
307	72	162
308	72	161
309	72	161
310	72	161
311	73	161
312	73	161
313	73	160
314	73	160
315	74	160
316	74	160
317	74	159
318	74	159
319	75	159
320	75	159
321	75	159
322	75	158
323	76	158
324	76	158
325	76	158
326	76	158
327	77	157
328	77	157
329	77	157
330	77	157
331	77	156
332	78	156
333	78	156
334	78	156
335	78	156
336	79	155
337	79	155
338	79	155
339	79	155
340	80	154
341	80	154
342	80	154
343	80	154
344	81	154
345	81	153
346	81	153
347	81	153
348	82	153
349	82	152
350	82	152
351	82	152
352	83	152
353	83	152
354	83	151
355	83	151
356	84	151
357	84	151
358	84	151
359	84	150
360	85	150
361	85	150
362	85	150
363	85	150
364	86	149
365	86	149
366	86	149
367	86	149
368	87	148
369	87	148
370	87	148
371	87	148
372	88	148
373	88	147
374	88	147
375	88	147
376	89	147
377	89	146
378	89	146
379	89	146
380	90	146
381	90	145
382	90	145
383	90	145
384	90	145
385	91	145
386	91	144
387	91	144
388	91	144
389	92	144
390	92	143
391	92	143
392	92	143
393	93	143
394	93	143
395	93	142
396	93	142
397	94	142
398	94	142
399	94	141
400	94	141
401	95	141
402	95	141
403	95	141
404	95	140
405	96	140
406	96	140
407	96	140
408	96	139
409	97	139
410	97	139
411	97	139
412	97	139
413	98	138
414	98	138
415	98	138
416	98	138
417	99	137
418	99	137
419	99	137
420	99	137
421	99	136
422	100	136
423	100	136
424	100	136
425	100	136
426	101	135
427	101	135
428	101	135
429	101	135
430	102	134
431	102	134
432	102	134
433	102	134
434	103	133
435	103	133
436	103	133
437	103	133
438	104	133
439	104	132
440	104	132
441	104	132
442	105	132
443	105	131
444	105	131
445	105	131
446	105	131
447	106	130
448	106	130
449	106	130
450	106	130
451	107	129
452	107	129
453	107	129
454	107	129
455	108	129
456	108	128
457	108	128
458	108	128
459	109	128
460	109	127
461	109	127
462	109	127
463	110	127
464	110	126
465	110	126
466	110	126
467	111	126
468	111	125
469	111	125
470	111	125
471	111	125
472	112	125
473	112	124
474	112	124
475	112	124
476	113	124
477	113	123
478	113	123
479	113	123
480	114	123
481	114	122
482	114	122
483	114	122
484	115	122
485	115	122
486	115	121
487	115	121
488	116	121
489	116	121
490	116	120
491	116	120
492	117	120
493	117	120
494	117	119
495	117	119
496	118	119
497	118	119
498	118	118
499	118	118
500	118	118
501	119	118
502	119	118
503	119	117
504	119	117
505	120	117
506	120	117
507	120	116
508	120	116
509	121	116
510	121	116
511	121	115
512	121	115
513	122	115
514	122	115
515	122	114
516	122	114
517	123	114
518	123	114
519	123	114
520	123	113
521	124	113
522	124	113
523	124	113
524	124	112
525	125	112
526	125	112
527	125	112
528	125	112
529	126	111
530	126	111
531	126	111
532	126	111
533	127	110
534	127	110
535	127	110
536	127	110
537	128	109
538	128	109
539	128	109
540	128	109
541	129	109
542	129	108
543	129	108
544	129	108
545	130	108
546	130	107
547	130	107
548	130	107
549	130	107
550	131	106
551	131	106
552	131	106
553	131	106
554	132	105
555	132	105
556	132	105
557	132	105
558	133	105
559	133	104
560	133	104
561	133	104
562	134	104
563	134	103
564	134	103
565	134	103
566	134	103
567	135	102
568	135	102
569	135	102
570	135	102
571	136	101
572	136	101
573	136	101
574	136	101
575	137	100
576	137	100
577	137	100
578	137	100
579	138	100
580	138	99
581	138	99
582	138	99
583	139	99
584	139	98
585	139	98
586	139	98
587	140	98
588	140	98
589	141	98
590	142	98
591	143	98
592	143	98
593	143	98
594	143	97
595	144	97
596	144	97
597	144	97
598	144	97
599	145	96
600	145	96
601	145	96
602	145	96
603	146	95
604	146	95
605	146	95
606	146	95
607	147	94
608	147	94
609	147	94
610	147	94
611	147	93
612	148	93
613	148	93
614	148	93
615	148	92
616	149	92
617	149	92
618	149	92
619	150	91
620	150	91
621	150	91
622	150	91
623	150	90
624	151	90
625	151	90
626	151	90
627	152	90
628	152	89
629	152	89
630	152	89
631	153	89
632	153	88
633	153	88
634	154	88
635	154	88
636	154	88
637	154	87
638	154	87
639	155	87
640	155	87
641	155	86
642	155	86
643	156	86
644	156	86
645	156	85
646	156	85
647	157	85
648	157	85
649	157	84
650	157	84
651	158	84
652	158	84
653	158	83
654	158	83
655	159	83
656	159	83
657	159	83
658	159	82
659	160	82
660	160	82
661	160	82
662	160	81
663	161	81
664	161	81
665	161	81
666	162	81
667	162	80
668	162	80
669	163	80
670	163	80
671	163	79
672	164	79
673	164	79
674	164	79
675	164	79
676	165	78
677	165	78
678	165	78
679	165	78
680	166	77
681	166	77
682	166	77
683	166	77
684	167	76
685	167	76
686	167	76
687	167	76
688	168	75
689	168	75
690	168	75
691	168	75
692	169	74
693	169	74
694	169	74
695	169	74
696	170	73
697	170	73
698	170	73
699	170	73
700	171	72
701	171	72
702	171	72
703	171	72
704	171	71
705	172	71
706	172	71
707	173	71
708	173	71
709	173	70
710	173	70
711	173	70
