iter	Passed	Remaining
0	47	47862
1	48	24157
2	48	16162
3	48	12164
4	49	9765
5	49	8165
6	49	7023
7	49	6165
8	49	5497
9	50	4963
10	50	4527
11	50	4163
12	50	3854
13	50	3590
14	51	3362
15	51	3161
16	51	2984
17	51	2827
18	52	2686
19	52	2559
20	52	2445
21	52	2340
22	52	2246
23	53	2159
24	53	2078
25	53	2004
26	53	1935
27	53	1872
28	54	1812
29	54	1756
30	54	1705
31	54	1657
32	55	1611
33	55	1568
34	55	1528
35	55	1489
36	55	1453
37	56	1419
38	56	1386
39	56	1355
40	56	1326
41	56	1298
42	57	1271
43	57	1246
44	57	1221
45	57	1198
46	58	1176
47	58	1154
48	58	1134
49	58	1114
50	59	1115
51	60	1097
52	60	1079
53	60	1062
54	60	1045
55	61	1029
56	61	1014
57	61	999
58	61	985
59	62	971
60	62	958
61	62	945
62	62	932
63	62	920
64	63	908
65	63	897
66	63	886
67	63	875
68	64	865
69	64	855
70	64	845
71	64	835
72	65	826
73	65	817
74	65	808
75	65	799
76	66	791
77	66	782
78	66	775
79	66	767
80	66	759
81	67	752
82	67	743
83	67	736
84	67	729
85	68	722
86	68	716
87	68	709
88	68	703
89	68	697
90	69	690
91	69	684
92	69	678
93	69	673
94	70	667
95	70	662
96	70	656
97	70	651
98	71	646
99	71	641
100	71	636
101	71	631
102	71	626
103	72	621
104	72	617
105	72	612
106	73	616
107	74	612
108	74	607
109	74	603
110	74	599
111	75	595
112	75	591
113	75	587
114	75	583
115	76	579
116	76	575
117	76	571
118	76	567
119	76	564
120	77	560
121	77	556
122	77	553
123	77	549
124	78	546
125	78	543
126	78	539
127	78	536
128	78	533
129	79	530
130	79	527
131	79	524
132	79	520
133	80	517
134	80	515
135	80	512
136	80	509
137	81	506
138	81	503
139	81	500
140	81	498
141	81	495
142	82	492
143	82	489
144	82	487
145	82	484
146	83	482
147	83	479
148	83	477
149	83	474
150	84	472
151	84	470
152	84	468
153	84	465
154	85	463
155	85	461
156	85	458
157	85	456
158	85	454
159	86	452
160	86	449
161	86	447
